author,followers_raw,author_followers,score,verdict,reach_median,likes,retweets,engagement,rel_amp,tweet
jimmyfallon,42000000,140,36,Limited spread,440,28,8,44.0,0.02,@kimkhazeion7 thanks for the book!!
BarackObama,78000000,147,4,Likely to fizzle,147,3844,1417,6678.0,1.895,"""Stonewall will be our first national monument to tell the story of the struggle for LGBT rights."" —President Obama http"
katyperry,95000000,149,4,Likely to fizzle,149,8328,3917,16162.0,1.128,Amazing  “@kzeitz1999: @katyperry @katyslayed 🌚this one good enough http://t.co/viOBauzSeR”
instagram,45000000,141,4,Likely to fizzle,141,780,173,1126.0,0.826,#WeeklyFluff = 10 lovable guinea pigs livin’ together https://t.co/u8JMybOv5m
ladygaga,64000000,145,12,Likely to fizzle,207,5164,3864,12892.0,1.123,On behalf of @BTWFoundation in support of ALS I'd like to nominate all lil' monsters. Please donate min $1 &amp; ice ure
ladygaga,64000000,145,4,Likely to fizzle,145,6929,2542,12013.0,1.047,"⚡️ “The GP is going ""Gaga"" for Joanne!” by @CantReadMyJudas

https://t.co/HnvJJ8GyZp"
YouTube,60000000,144,13,Likely to fizzle,215,53,6,65.0,0.048,@austinnotduncan 👏 👍 👏 👍 👏 👍 👏
BarackObama,78000000,147,21,Likely to fizzle,275,1548,799,3146.0,0.892,"""We can help every American get the education they need to get ahead in this country."" —President Obama"
instagram,45000000,141,4,Likely to fizzle,141,822,135,1092.0,0.801,It's fiesta time! 🎉 Meet the Instagrammers of #WWIM14_Dubai in @heraldherrera's story: https://t.co/k45XeMlWlc #WWIM14🍴
taylorswift13,83000000,147,15,Likely to fizzle,239,10171,27976,66123.0,2.111,I'm so 22 right now.
ArianaGrande,42000000,140,60,Has legs,757,27199,13383,53965.0,1.345,but again.... thank you!!!! and I love you so much
instagram,45000000,141,5,Likely to fizzle,154,773,122,1017.0,0.746,“The space in the back of a yellow cab serves the entire world.” —NYC taxi driver Yaw Addae https://t.co/T6ts4XdTK7
selenagomez,45000000,141,30,Limited spread,377,883,1437,3757.0,0.206,@x0drew I love France.  Can't wait to be back.
taylorswift13,83000000,147,4,Likely to fizzle,156,7069,3248,13565.0,0.433,"HUSTLIN
EVERY
DAY
http://t.co/uSLUhycl7t"
cnnbrk,25000000,134,3,Likely to fizzle,134,452,198,848.0,0.614,"Orlando nightclub gunman Omar Mateen shot 8 times by police, medical examiner's report says. https://t.co/Xilg4fc5IQ htt"
KimKardashian,48000000,142,9,Likely to fizzle,189,7217,1533,10283.0,1.353,"FAVORITE MAGAZINE COVERS 2015
https://t.co/A02mVDhGZm https://t.co/fT2PjPc0kQ"
katyperry,95000000,149,15,Likely to fizzle,259,4960,4899,14758.0,1.03,"I'm bringing my friends @iconapop to Belfast, Newcastle, Nottingham, Birmingham, Glasgow, Manchester, Liverpool, Sheffie"
katyperry,95000000,149,17,Likely to fizzle,261,9963,5704,21371.0,1.491,When trying to up your serotonin on the treadmill do NOT watch Rich Kids of Beverly Hills. You will feel sadder than whe
taylorswift13,83000000,147,4,Likely to fizzle,148,13436,12157,37750.0,1.205,The best birthday I've ever had. http://t.co/p4nK4i7S7V
YouTube,60000000,144,4,Likely to fizzle,144,1287,193,1673.0,1.229,Cows know good music when they hear it. https://t.co/SsbgoL0iFm https://t.co/lX3e07yRz5
YouTube,60000000,144,4,Likely to fizzle,144,1390,178,1746.0,1.279,ICYMI: The #BRITs went big in London last night. https://t.co/2qGR36Vifh https://t.co/RC4oPg2Fc9
Cristiano,52000000,142,15,Likely to fizzle,228,1264,2178,5620.0,1.24,Hey guys! The Portuguese National Team will play against Israel and Azerbaijan in the next days.
jimmyfallon,42000000,140,19,Likely to fizzle,256,1983,266,2515.0,1.127,"Tonight: Claire Danes, Sullivan Stapleton, and music from @TheBonnieRaitt! #FallonTonight"
katyperry,95000000,149,4,Likely to fizzle,149,5410,2941,11292.0,0.787,"Alas, I didn't catch Nessie...only it's remnants🙍 http://t.co/KuB1ndUK1w"
selenagomez,45000000,141,51,Has legs,665,836,2551,5938.0,0.325,"MERRY CHRISTMAS, HAPPY HOLIDAYS, HAPPY NEW YEAR!!!!!!  

http://www.youtube.com/watch?v=YC-Xc45QnLI http://fb.me/O0axr"
YouTube,60000000,144,4,Likely to fizzle,144,1315,226,1767.0,1.295,Scientists have found that the T-Rex’s fiercest natural predator was actually the common cactus.… https://t.co/6zOhj7lSZ
shakira,42000000,140,34,Limited spread,400,859,1190,3239.0,1.346,Happy bday Mr President @BarackObama ! All the best and big hug! Shak
ArianaGrande,42000000,140,28,Limited spread,333,28683,8593,45869.0,1.143,"Jones Beach, you were absolutely unreal!!!!! I love you. thank you for your love and energy.… https://t.co/pUYg4EcyhI"
shakira,42000000,140,4,Likely to fizzle,140,1944,839,3622.0,1.505,Shak features in the new issue of @elle_es / Shak en el número de este mes de ELLE España! ShakHQ http://t.co/EAi7knMf58
selenagomez,45000000,141,44,Limited spread,530,1041,1164,3369.0,0.185,@osnapitzang Thank You.
KimKardashian,48000000,142,17,Likely to fizzle,249,8697,954,10605.0,1.395,I'm so excited! I'm 30 lbs down today but 40 to go! I'm so focused. I will show u guys my workouts on my app &amp; share
YouTube,60000000,144,4,Likely to fizzle,144,11900,4814,21528.0,15.771,"✅  Pride
✅  Acceptance
✅  Kindness
✅  Love
🌈  Celebrate who you're #ProudToBe. https://t.co/k4fCvqaFxJ https://t.co/"
britneyspears,36000000,138,16,Likely to fizzle,250,2391,947,4285.0,1.123,"So long, Rogelio! #BritneyOnJTV"
cnnbrk,25000000,134,7,Likely to fizzle,167,685,328,1341.0,0.972,OLYMPICS: Swimmer Joseph Schooling wins Singapore's first-ever gold in 100-meter butterfly. https://t.co/joStZHidtZ
TheEllenShow,65000000,145,4,Likely to fizzle,145,14934,2662,20258.0,3.487,"To be fair, he can’t read yet. https://t.co/Dg8VEJgz1A"
katyperry,95000000,149,39,Limited spread,482,3281,936,5153.0,0.359,@hotncolds swallowing lots of rain water?
instagram,45000000,141,4,Likely to fizzle,141,1089,215,1519.0,1.116,Chase the sun. #LeapYear #wwim9_tokyo https://t.co/nnvJMu4OgP
rihanna,59000000,144,4,Likely to fizzle,144,4444,2719,9882.0,1.545,Get your #Trap$tar Monster Tour gear here----&gt; http://t.co/aFOStcdo4q
shakira,42000000,140,4,Likely to fizzle,140,1600,586,2772.0,1.152,You can now follow Shak on @Shazam / Ahora ya pueden seguir a Shak en Shazam http://t.co/9PGrs4NK5L  ShakHQ
KimKardashian,48000000,142,4,Likely to fizzle,144,1640,235,2110.0,0.277,Just being with family. Every fam trip is so memorable https://t.co/8CAfbHwdid
Twitter,55000000,143,16,Likely to fizzle,236,2055,995,4045.0,3.856,"Never gonna GIF you up, @rickastley. #GIFparty https://t.co/Ustoy7Ip1N"
