rank,rank_error,signed_error,score,score_pct,rel_amp,actual_rel_amp_pct,reach_median,reach_median_pct,engagement,engagement_pct,reach_vs_eng_error,verdict,author,likes,retweets,tweet
1,0.01,0.01,24,83.33,2.352,83.32,303,83.59,5248.0,49.8,33.78,Likely to fizzle,jimmyfallon,2556,1346,One week from tonight: The Best of Late Night 2 Hour Primetime Special!! 9pm Jan 5th. Set your DVRs. We did a lot of fun
2,0.01,-0.01,15,73.43,1.703,73.44,222,70.83,6002.0,52.3,18.54,Likely to fizzle,BarackObama,2542,1730,"""Justice is making sure that every young person knows that they are special and their lives matter."" —President Obama"
3,0.01,-0.01,4,27.7,0.612,27.7,140,9.41,1659.0,22.27,12.86,Likely to fizzle,jtimberlake,549,555,Which way is the stage?? #SpinalTap #WettenDass http://t.co/RfeDu8OG8e
4,0.01,-0.01,4,27.7,0.612,27.7,140,9.41,1366.0,17.78,8.37,Likely to fizzle,jimmyfallon,790,288,"""I Knew You Were Waiting (For Me)"" Lip Flip with @WhoopiGoldberg  http://t.co/X5NXHzlliJ #FallonTonight"
5,0.01,-0.01,4,27.7,0.612,27.7,142,23.88,4656.0,47.26,23.38,Likely to fizzle,KimKardashian,3256,700,#SISTERSUNDAY https://t.co/aFEWcXp2LI https://t.co/uCq9F19ufV
6,0.02,0.02,44,93.63,4.519,93.61,509,93.14,12237.0,66.23,26.91,Limited spread,jtimberlake,1627,5305,"#ThingsToNeverAskADJ  ""You got any Backstreet Boys??"" Bam."
7,0.02,0.02,30,87.79,2.947,87.78,365,88.23,7981.0,57.79,30.44,Limited spread,jtimberlake,4269,1856,"Hey NY. There is never an easy way to do this... Unfortunately, I have to postpone tonight's show to Friday due to healt"
8,0.03,0.03,18,77.61,1.909,77.58,253,77.48,21909.0,75.93,1.55,Likely to fizzle,ladygaga,8777,6566,"The film documents the lives of young people affected by rape. Our song is called ""Till It Happens To You."""
9,0.05,-0.05,7,58.51,1.182,58.55,168,57.03,16934.0,71.73,14.7,Likely to fizzle,katyperry,11036,2949,Every1 wants to b a butterfly butcha gotsa learn how to crawl b4 u ball okurrr 👋🏼 @ Santa… https://t.co/DcMyu7i3Xf
10,0.05,0.05,4,27.7,0.611,27.65,140,9.41,1365.0,17.76,8.35,Likely to fizzle,jimmyfallon,995,185,Tonight's Tonight https://t.co/MyfYARw3ez
11,0.05,0.05,4,27.7,0.611,27.65,145,36.99,7016.0,55.02,18.03,Likely to fizzle,ladygaga,2996,2010,"On the Tour Bus, Hamburg To Prague, What an incredible unity between the fans tonight. You are so bad… http://t.co/Pvbn0"
12,0.05,0.05,4,27.7,0.611,27.65,142,23.88,843.0,9.81,14.07,Likely to fizzle,cnnbrk,239,302,"2 killed, 2 Oklahoma officers shot, manhunt underway https://t.co/SSN3rYeLGX"
13,0.05,0.05,4,27.7,0.611,27.65,147,42.96,2154.0,28.14,14.83,Likely to fizzle,BarackObama,984,585,"Raising the wage, equal pay for equal work, reining in student loan debt—go #OnTheRecord in support of action: http://t."
14,0.06,-0.06,4,27.7,0.613,27.76,141,17.96,836.0,9.73,8.23,Likely to fizzle,instagram,604,116,“Taking weird things and making them cute is a cool way to look at the world.” —Becky Margraf https://t.co/GePrN7lBu7
15,0.06,-0.06,4,27.7,0.613,27.76,141,17.96,836.0,9.73,8.23,Likely to fizzle,instagram,652,92,"Family cuddles on a lazy Sunday #WHPthisishome
https://t.co/staARUxT92"
16,0.07,-0.07,22,81.86,2.22,81.93,296,82.98,69526.0,93.17,10.19,Likely to fizzle,taylorswift13,22588,23469,I'm sending my love to the fans in Thailand. I'm so sad about the concert being canceled.
17,0.09,0.09,61,97.46,7.558,97.37,801,97.57,48334.0,89.52,8.05,Has legs,rihanna,23492,12421,Navy y’all did this i$h!!! FIRST &amp; ONLY @RIAA certified with 100M song awards &amp; #ANTI is PLATINUM!! Thank you fo
18,0.09,0.09,8,60.65,1.233,60.56,184,61.32,1683.0,22.69,38.63,Likely to fizzle,YouTube,1197,243,2015’s best movies just got a whole lot cuter. https://t.co/2Sl2sJS6Mq https://t.co/0TXlkt8ZoT
19,0.1,0.1,15,73.43,1.694,73.34,237,74.6,67942.0,92.97,18.37,Likely to fizzle,ArianaGrande,42590,12676,feel like we would have a bomb ass slumber party
20,0.11,-0.11,46,94.15,4.797,94.26,600,94.84,10703.0,63.76,31.08,Limited spread,jimmyfallon,8133,1285,"I'm off to Philly to work on my accent. Or the south? Or England? It's tricky, man. Love ya Philadelphia! #hewgie"
21,0.11,0.11,4,27.7,0.61,27.59,144,31.6,3906.0,43.15,11.55,Likely to fizzle,rihanna,1104,1401,#BARBADOS #Paradise http://t.co/04AqlInSZV
22,0.12,0.12,10,64.28,1.34,64.16,206,66.64,15370.0,70.23,3.59,Likely to fizzle,ladygaga,7210,4080,Thank you @brandonvmaxwell for my beautiful dress! I felt so sexy! 💋 http://t.co/1vq6wSDkT5
23,0.13,-0.13,4,27.7,0.614,27.82,145,36.99,7044.0,55.15,18.16,Likely to fizzle,ladygaga,3042,2001,#farewellartpop asielhardison on to the next journey of our gypsy lives http://t.co/g2Vqv3mPAR
24,0.13,-0.13,4,27.7,0.614,27.82,145,36.99,3569.0,40.74,3.75,Likely to fizzle,TheEllenShow,2583,493,"Lookin' good, good lookin'.  https://t.co/aIxUXUvUqg"
25,0.13,-0.13,4,27.7,0.614,27.82,144,31.6,3931.0,43.31,11.71,Likely to fizzle,rihanna,1141,1395,Throwback of Dolly and I http://t.co/Iy9Zk2CRkq
26,0.14,0.14,29,87.13,2.815,86.99,338,86.52,7623.0,56.95,29.58,Limited spread,jtimberlake,1713,2955,Western Conference Finals for the first time in franchise history... Unreal. Stand Up Memphis! #GritnGrind
27,0.16,0.16,13,69.69,1.536,69.53,222,70.83,9821.0,61.99,8.85,Likely to fizzle,rihanna,2505,3658,GQ's man of the year?! When will your fave? #histoRih #GQ http://t.co/RITFDHiL
28,0.17,0.17,28,86.39,2.718,86.23,345,87.02,15773.0,70.67,16.36,Limited spread,TheEllenShow,12189,1792,.@DianeSawyer did an absolutely incredible job.
29,0.17,0.17,4,27.7,0.609,27.53,145,36.99,3543.0,40.55,3.56,Likely to fizzle,TheEllenShow,2901,321,Sally Field &amp; Max Greenfield have a lotta chemistry. And Im not talking about thermodynamics https://t.co/GiNWctqYIr
30,0.17,0.17,4,27.7,0.609,27.53,140,9.41,1469.0,19.41,10.0,Likely to fizzle,shakira,861,304,#daretodream #SUI ShakHQ http://t.co/RSxC5B0bo3
31,0.18,-0.18,49,94.86,5.186,95.04,572,94.34,14043.0,68.62,25.72,Limited spread,jtimberlake,6059,3992,Two words... Cleveland Rocks. Unreal energy. Thanks OHIO!!! O-H..! Still love that.
32,0.18,-0.18,22,81.86,2.233,82.04,293,82.69,25626.0,78.83,3.86,Likely to fizzle,ladygaga,12628,6499,Headed to #Oscars rehearsal! I've got goosebumps already ☺️ What an honor to perform for the world and such an immensely
33,0.19,-0.19,4,27.7,0.615,27.89,140,9.41,24710.0,78.18,68.77,Likely to fizzle,ArianaGrande,13772,5469,I adore u https://t.co/cPxCiJaXoj
34,0.19,-0.19,4,27.7,0.615,27.89,144,31.6,3937.0,43.33,11.73,Likely to fizzle,rihanna,1211,1363,In the wild #safari #southAfrica @gnlstudios http://t.co/m9jHkC4lsl
35,0.19,-0.19,4,27.7,0.615,27.89,142,23.88,4682.0,47.4,23.52,Likely to fizzle,KimKardashian,2874,904,Kanye is performing for President Obama @barackobama in San Fran on 10/10. Come hang out with us! Tix here http://t.co/W
36,0.19,-0.19,4,27.7,0.615,27.89,141,17.96,838.0,9.76,8.2,Likely to fizzle,instagram,614,112,Patrik Monka’s photography captures the energy of (very) flexible folks https://t.co/H0ALJsbf8A
37,0.19,-0.19,4,27.7,0.615,27.89,145,36.99,3577.0,40.79,3.81,Likely to fizzle,TheEllenShow,1981,798,I need to get an unlisted number. @Adele https://t.co/Nvq01rOx1x
38,0.2,-0.2,12,67.85,1.481,68.04,217,69.55,11255.0,64.65,4.9,Likely to fizzle,KimKardashian,7159,2048,Thank you @Jack #FounderOfTwitterUnderstands !!!  https://t.co/SzCM03xAH2
39,0.2,-0.2,9,62.57,1.295,62.77,198,64.7,51960.0,90.38,25.68,Likely to fizzle,ArianaGrande,25866,13047,♡ #EverydayTonight ♡ #8daystilDangerousWoman
40,0.21,0.21,87,99.84,20.82,99.64,1000,99.54,133153.0,97.02,2.53,Viral potential,rihanna,29977,51588,It's yours...nobody else's
41,0.21,-0.21,66,98.26,9.855,98.47,886,98.42,21986.0,75.99,22.44,Has legs,jimmyfallon,11952,5017,"@camilacabello97 you killed it tonight!! Thank you. Love, Jeeeeeemy"
42,0.21,-0.21,5,52.97,1.056,53.18,162,55.09,1437.0,18.96,36.13,Likely to fizzle,instagram,981,228,Spotted in Iceland: a cloud that will give you goosebumps https://t.co/6f1ROy49pa
43,0.22,-0.22,30,87.79,2.973,88.01,352,87.47,19012.0,73.67,13.8,Limited spread,rihanna,2548,8232,You're too good for you
44,0.24,-0.24,25,84.1,2.456,84.33,306,83.93,6652.0,54.1,29.84,Limited spread,jtimberlake,2296,2178,"Had a great time with you last night, London. We should do it again soon..."
45,0.24,0.24,5,52.97,1.046,52.74,159,54.15,148384.0,97.54,43.39,Likely to fizzle,justinbieber,61586,43399,Mark My Words. #PURPOSE https://t.co/QTYt8y3mur
46,0.24,0.24,5,52.97,1.046,52.74,153,51.67,34040.0,84.34,32.67,Likely to fizzle,ddlovato,14996,9522,“@irobotyoujane: and then you have friends like THIS. @ddlovato #SOBBING 🙌❤️💛💚💙💜 http://t.co/3yfxjjFJSs” I'm so grateful
47,0.24,0.24,4,27.7,0.608,27.46,144,31.6,830.0,9.65,21.96,Likely to fizzle,YouTube,672,79,"Back in school we used to dream about this every day. 

BBD make a comeback → https://t.co/YO0uEujOCS https://t.co/TA2"
48,0.24,0.24,4,27.7,0.608,27.46,141,17.96,829.0,9.62,8.34,Likely to fizzle,instagram,635,97,Cue the drama. And the cuteness overload. 🐶 (via @Circa) https://t.co/Uxw8NNl4ru
49,0.24,0.24,4,27.7,0.608,27.46,145,36.99,3537.0,40.48,3.5,Likely to fizzle,TheEllenShow,2789,374,Jennifer Aniston really knows her way around a cockpit. Happy Day 6 of 12 Days! https://t.co/DjQgkp0ENm https://t.co/6q6
50,0.25,-0.25,20,79.88,2.063,80.13,255,77.83,82776.0,94.45,16.62,Likely to fizzle,ArianaGrande,38652,22062,#6DaysTillDangerousWoman
51,0.25,0.25,9,62.57,1.285,62.32,191,63.05,4906.0,48.38,14.67,Likely to fizzle,britneyspears,1530,1688,#BritneyJeanPreOrderTwoHours
52,0.26,-0.26,4,27.7,0.616,27.96,153,51.67,3584.0,40.85,10.82,Likely to fizzle,TheEllenShow,2796,394,"Tonight’s the #EllenDesignOnHGTV finale! You’ll never guess who announces the winner (its me, if you couldn’t guess)
ht"
