rank,score,verdict,author,followers_raw,author_followers,rel_amp,likes,retweets,engagement,reach_median,tweet
1,87,Viral potential,rihanna,59000000,144,20.82,29977,51588,133153.0,1000,It's yours...nobody else's
2,87,Viral potential,TheEllenShow,65000000,145,5.972,15943,9378,34699.0,1000,".@justinbieber, you never disappoint. #GRAMMYs"
3,87,Viral potential,ddlovato,41000000,140,3.388,47026,31613,110252.0,1000,Hold on.... So people actually see white and gold....??!! 😰😱
4,87,Viral potential,ArianaGrande,42000000,140,2.869,50596,32251,115098.0,1000,HAPPY BEST DAY OF THE YEAR EVERYONE ✨👻 ♡😈
5,87,Viral potential,ArianaGrande,42000000,140,2.594,54038,25020,104078.0,1000,love you
6,87,Viral potential,ddlovato,41000000,140,2.364,31383,22779,76941.0,1000,Happy Easter everyone 😘😘😘
7,87,Viral potential,ArianaGrande,42000000,140,2.297,50687,20738,92163.0,1000,"once I ... haaaaave you .... i will... never let you, never let you ... go"
8,87,Viral potential,britneyspears,36000000,138,2.243,2152,3204,8560.0,1000,Good morning everyone! #OohLaLaVideoToday!
9,87,Viral potential,selenagomez,45000000,141,2.129,8791,15014,38819.0,1000,Happy Thanksgiving Everyone!!!
10,87,Viral potential,KimKardashian,48000000,142,2.108,10531,2747,16025.0,1000,I'm soooooo bored!!!!! What's everyone up to?
11,87,Viral potential,ddlovato,41000000,140,1.749,25054,15929,56912.0,1000,"Wow!!!! JUST now seeing the TT: DEMI WE LOVE YOU""... See?!! My fans are the BEST in the WORLD!! I LOVE MY LOVATICS SO MU"
12,87,Viral potential,taylorswift13,83000000,147,1.275,11909,14006,39921.0,1000,BRIT nomination?! Amazing!! 🇬🇧💋
13,87,Viral potential,ddlovato,41000000,140,1.077,16847,9104,35055.0,1000,@joejonas LOVE YOU THANK YOU!!!
14,87,Viral potential,TheEllenShow,65000000,145,0.961,3983,803,5589.0,1000,"Happy birthday, @MattBomer! Nobody bomes like you do."
15,87,Viral potential,Cristiano,52000000,142,0.871,947,1504,3955.0,1000,Hey everyone! What do you think of me following the 5 daily winners forever? #Celebrate15M
16,87,Viral potential,KimKardashian,48000000,142,0.862,4901,827,6555.0,1000,What's everyone up to today?
17,87,Viral potential,jtimberlake,41000000,140,0.527,155,636,1427.0,1000,Happy 4th everyone!
18,87,Viral potential,ladygaga,64000000,145,0.515,2682,1612,5906.0,1000,@andreskc11 it's not done yet! I can't stop!
19,87,Viral potential,selenagomez,45000000,141,0.49,2936,2999,8934.0,1000,. @HeckYesSelena: @selenagomez how was your experience filming #Getaway different than any other film you've been in?
20,87,Viral potential,KimKardashian,48000000,142,0.426,2461,391,3243.0,1000,Is everyone enjoying tonight's episode so far? #KUWTK
21,87,Viral potential,Twitter,55000000,143,0.322,70,134,338.0,1000,Curious question: What is your favorite never-ending #hashtag? And why?
22,87,Viral potential,ArianaGrande,42000000,140,0.261,6727,1878,10483.0,1000,@buteraftyeezus never ever. it's my favorite.
23,87,Viral potential,rihanna,59000000,144,0.237,401,559,1519.0,1000,“@Beckie08: Welcome back Robyn!!! We've missed you @rihanna” miss you always
24,87,Viral potential,selenagomez,45000000,141,0.171,641,1237,3115.0,1000,@Neederz2011 always! :)
25,87,Viral potential,Cristiano,52000000,142,0.105,238,119,476.0,1000,"@emiliegranb Yes, it’s amazing! Thanks everyone!"
26,87,Viral potential,britneyspears,36000000,138,0.098,127,123,373.0,1000,@maggie__gorman So you've been spreading the word huh? &lt;3 #WorkBxxchVideoTomorrow
27,87,Viral potential,jtimberlake,41000000,140,0.079,38,88,214.0,1000,"""@Mark1Mc: @jtimberlake #ThingsToNeverAskADJ ""you got anything we can just chill to?"""" Hahahaha! Nice!"
28,87,Viral potential,jtimberlake,41000000,140,0.078,52,80,212.0,1000,"""@TraceAyala: This is why I love aussi!!! Check out fri!  What they don't tell you about the massages in that there from"
29,87,Viral potential,Twitter,55000000,143,0.068,43,14,71.0,1000,@SurfBelle2 Always and forever.
30,87,Viral potential,YouTube,60000000,144,0.026,26,5,36.0,1000,"@LamarrWilson @lamarrWilson Vloggers unite! Great story, please never stop. 😊"
31,87,Viral potential,YouTube,60000000,144,0.025,30,2,34.0,1000,@ChaBoyyHD But hot like 🍕  or hot like ☀ ️?
32,87,Viral potential,YouTube,60000000,144,0.017,15,4,23.0,1000,@CHVRCHES TRUTH. THANK YOU. #voteIRL
33,86,Viral potential,rihanna,59000000,144,1.636,5105,2678,10461.0,1000,Always them last 3 minutes! I can't take it! She hates us! #QingShonda #TGIT
34,86,Viral potential,katyperry,95000000,149,1.473,5453,7826,21105.0,1000,Happy Thursday everyone!
35,86,Viral potential,katyperry,95000000,149,0.843,4088,4004,12096.0,1000,GOOD MORNING AMERICA! Who's meeting me in Times Square this morning for some morning fun?!?! 🐯
36,86,Viral potential,katyperry,95000000,149,0.24,2188,624,3436.0,1000,@dizzycoco always❤️
37,86,Viral potential,katyperry,95000000,149,0.191,1659,538,2735.0,1000,@CraigyFerg @RealMattLucas never forget skittles.
38,86,Viral potential,Cristiano,52000000,142,0.147,94,286,666.0,1000,"Hi everyone, @nikefootball are customizing my new boots. What would you like to see?"
